id,file_size,write_time,write_status_code,read_time,read_status_code,storage_mode,max_erasures
61d2c0c674fece5512050480,100MB,44.27329444885254,201,27.018322944641113,200,erasure_coding_rs_random_worker,2
61d2c12b74fece5512050481,100MB,43.91399574279785,201,27.195131301879883,200,erasure_coding_rs_random_worker,2
61d2c18474fece5512050482,100MB,30.906068325042725,201,31.86585021018982,200,erasure_coding_rs_random_worker,2
61d2c1e074fece5512050483,100MB,30.9312641620636,201,31.77994418144226,200,erasure_coding_rs_random_worker,2
61d2c25574fece5512050484,100MB,54.729334354400635,201,27.321706533432007,200,erasure_coding_rs_random_worker,2
61d2c2b674fece5512050485,100MB,39.30225682258606,201,29.36810564994812,200,erasure_coding_rs_random_worker,1
61d2c31874fece5512050486,100MB,38.58884358406067,201,29.156975746154785,200,erasure_coding_rs_random_worker,1
61d2c37a74fece5512050487,100MB,38.95611238479614,201,29.141862630844116,200,erasure_coding_rs_random_worker,1
61d2c3d274fece5512050488,100MB,29.647754669189453,201,32.511345624923706,200,erasure_coding_rs_random_worker,1
61d2c43574fece5512050489,100MB,36.03488826751709,201,29.244911193847656,200,erasure_coding_rs_random_worker,1
61d2c49374fece551205048a,100MB,35.045154094696045,201,17.487130880355835,200,erasure_coding_rs,2
61d2c4e574fece551205048b,100MB,34.306142807006836,201,17.82240104675293,200,erasure_coding_rs,2
61d2c53874fece551205048c,100MB,34.90907669067383,201,17.757992029190063,200,erasure_coding_rs,2
61d2c58a74fece551205048d,100MB,34.42684531211853,201,17.54882311820984,200,erasure_coding_rs,2
61d2c5dc74fece551205048e,100MB,34.538328409194946,201,21.98225164413452,200,erasure_coding_rs,2
61d2c62d74fece551205048f,100MB,28.79172992706299,201,22.70613408088684,200,erasure_coding_rs,1
61d2c67f74fece5512050490,100MB,29.771756410598755,201,22.44989275932312,200,erasure_coding_rs,1
61d2c6d074fece5512050491,100MB,28.20988130569458,201,19.44849681854248,200,erasure_coding_rs,1
61d2c71e74fece5512050492,100MB,28.320788145065308,201,19.553930044174194,200,erasure_coding_rs,1
61d2c76c74fece5512050493,100MB,28.09841775894165,201,19.50586485862732,200,erasure_coding_rs,1
